state,city,event_type,count
Sichuan,Tangshan,department,8
Anhui,Shanghai,cart,8
Georgia,Gainesville,product,8
Oklahoma,Oklahoma City,product,8
Guangdong,Tianjin,home,8
Jilin,Zhenjiang,product,8
Jiangxi,Beijing,product,8
Rio Grande do Norte,Parnamirim,product,8
Inner Mongolia Autonomous Region,Jieyang,product,8
Guangdong,Hohhot,department,8
Sichuan,Taiyuan,cart,8
Inner Mongolia Autonomous Region,Foshan,product,8
Shanghai,Foshan,department,8
Shanghai,Beijing,cancel,8
Liaoning,Tianjin,cart,8
Henan,Benxi,department,8
Hebei,Wuhan,department,8
Hunan,NanNing,cart,8
Flanders,Leuven,department,8
Shanxi,Shanghai,department,8
Zhejiang,Qingdao,product,8
Amapá,Macapá,department,8
Jiangxi,Jinan,product,8
Zhejiang,Nanjing,department,8
Sichuan,Guangzhou,cart,8
Oregon,Portland,cart,8
Beijing,Shanghai,purchase,8
Guangdong,Handan,cart,8
Hunan,Xining,cart,8
Western Australia,Perth,cart,8
Beijing,Xiamen,cart,8
District of Columbia,Washington,department,8
Colorado,Colorado Springs,cart,8
Beijing,Shanghai,cancel,8
England,Bristol,product,8
Heilongjiang,Qiqihar,product,8
Jilin,Baotou,department,8
Guangdong,Guangzhou,department,8
Jilin,Chengdu,department,8
Tianjin,Zhengzhou,cart,8
Jilin,Chengdu,product,8
Pernambuco,Recife,department,8
Kentucky,Louisville,cart,8
Paraná,Londrina,cart,8
Guizhou,Foshan,product,8
Zhejiang,Jiangmen,product,8
Shanxi,Xuchang,product,8
Beijing,Urumqi,cart,8
Zhejiang,Hohhot,product,8
Beijing,Urumqi,product,8
Guangdong,Baotou,product,8
Heilongjiang,Taiyuan,cart,8
New South Wales,Newcastle,product,8
Galicia,Vigo,product,8
Liaoning,Foshan,product,8
Shaanxi,Nanjing,cart,8
Liaoning,Kannada,department,8
Heilongjiang,Foshan,department,8
Guangxi Zhuang Autonomous Region,Xingtai,product,8
Hebei,Qiqihar,product,8
Guizhou,Xingtai,cart,8
Hunan,Shiyan,product,8
Hebei,Ordos,product,8
Fujian,Urumqi,product,8
Hunan,Suzhou,cart,8
Jiangxi,Maoming,product,8
Liaoning,Hefei,department,8
Guangdong,Hangzhou,product,8
Texas,Round Rock,cart,8
Tianjin,Tianjin,product,8
Hunan,Wenzhou,cart,8
Hunan,Wenzhou,department,8
Shanghai,Beijing,purchase,8
Anhui,Chengdu,product,8
Scotland,Glasgow,cart,8
Texas,San Antonio,cancel,8
Incheon Metropolitan City,Incheon Metropolitan City,purchase,8
Shandong,Baoding,cart,8
Hebei,Chengdu,department,8
Jiangxi,Changchun,cart,8
Shandong,Linyi,cart,8
Chiba,Chiba,department,8
Jiangsu,Harbin,cart,8
Texas,Houston,cancel,8
Jiangsu,Ningbo,product,8
Henan,Zaozhuang,product,8
Beijing,Beijing,cancel,8
Shanghai,Zhangzhou,department,8
Georgia,Marietta,product,8
São Paulo,Ubatuba,product,8
Jiangsu,Ordos,product,8
Jiangsu,Handan,department,8
Guangdong,Pingdingshan,product,8
Gyeongsangnam-do,Gimhae City,product,8
Nordrhein-Westfalen,Dortmund,department,8
