postal_code,event_type,id
28940-000,product,9
118015,department,9
523770,product,9
516545,department,9
201499,department,9
518114,cart,9
321004,product,9
410013,product,9
210002,product,9
200081,product,9
150096,cart,9
200070,cart,9
274300,product,9
150501,cart,9
528322,product,9
200062,product,9
222124,department,9
200031,cart,9
24800,cart,9
550002,product,9
68447-000,product,9
36400-000,product,9
30045,product,9
90201,cart,9
550002,cart,9
515021,cart,9
37550-000,product,9
276400,product,9
53010,department,9
750000,department,9
132001,product,9
68695-000,cart,9
271001,department,9
102209,product,9
311399,product,9
62552,cart,9
30072,cart,9
450051,product,9
361022,department,9
215132,department,9
110025,product,9
200431,product,9
200231,product,9
528099,product,9
311899,product,9
14400,product,9
54199,department,9
200124,cart,9
66008,product,9
550003,product,9
35519-000,cart,9
430035,department,9
525011,product,9
250105,cart,8
523660,cart,8
242034,product,8
102208,department,8
24800,department,8
710043,department,8
215124,product,8
350108,department,8
250316,product,8
102218,cart,8
266021,product,8
210017,cart,8
210019,product,8
210042,cart,8
70655-775,cart,8
102628,department,8
266520,product,8
10011,product,8
550003,cart,8
410008,cart,8
410006,product,8
213016,product,8
410001,department,8
410001,cart,8
71000,department,8
24006,product,8
234029,product,8
24000,product,8
73000,cart,8
528315,product,8
221151,product,8
528253,cart,8
210011,cart,8
528231,product,8
11680-000,product,8
400047,product,8
11680-000,cart,8
400069,department,8
215699,product,8
215699,cart,8
215516,product,8
116100,department,8
215228,product,8
116089,cart,8
215051,product,8
116039,department,8
330009,cart,8
73000,department,8
332000,product,8
528467,product,8
110078,product,8
538004,product,8
537500,department,8
362299,product,8
111003,department,8
111005,product,8
363000,product,8
524400,product,8
101199,cart,8
230094,product,8
230093,product,8
53010,product,8
55500-000,product,8
10060,product,8
529199,department,8
86030-030,cart,8
529090,cart,8
215104,product,8
317016,product,8
521031,department,8
200135,cart,8
200010,product,8
430074,cart,8
200031,department,8
100025,product,8
200070,product,8
310012,product,8
515235,department,8
310014,department,8
200093,department,8
200120,product,8
430024,product,8
516545,product,8
430010,cart,8
130111,department,8
312300,product,8
130062,department,8
201100,department,8
516029,cart,8
201103,product,8
100061,cart,8
314299,cart,8
100068,cart,8
515021,department,8
132-030,product,8
30009,department,8
132000,department,8
14017,product,8
14025,product,8
14042,product,8
150010,product,8
49160-000,department,8
150501,department,8
467599,product,8
152000,cart,8
65066-620,cart,8
45500,department,8
65950-000,cart,8
65950-000,department,8
30027,product,8
510000,product,8
510150,cart,8
450052,department,8
450051,department,8
134301,product,8
450012,department,8
82590-300,product,8
132000,product,8
201204,product,8
430074,department,8
414000,department,8
518103,department,8
318020,department,8
421500,product,8
518111,department,8
100082,product,8
414619,cart,8
518104,product,8
78890-000,cart,8
201824,product,8
121018,department,8
518126,cart,8
518112,cart,8
51137,product,7
41000,cart,7
361007,product,7
41000,product,7
661099,cart,7
110078,department,7
361007,department,7
414619,product,7
54003,product,7
93100,cart,7
510000,cart,7
518131,cart,7
97300-000,cart,7
110035,product,7
523111,product,7
238367,cart,7
37036,product,7
750000,product,7
510430,department,7
610504,cart,7
363099,product,7
44599,product,7
67105-290,cart,7
510515,product,7
511430,cart,7
36880-000,product,7
744099,cart,7
408401,product,7
710033,cart,7
510425,product,7
518129,cart,7
241002,cart,7
361028,product,7
511430,product,7
450044,department,7
518024,cart,7
410002,product,7
241004,product,7
65930-000,department,7
13720-000,department,7
150060,product,7
350025,product,7
414000,cart,7
474250,product,7
350025,cart,7
475004,product,7
63500,cart,7
413200,product,7
14042,cart,7
550058,cart,7
264012,product,7
55190-000,product,7
14031,product,7
412299,product,7
266032,department,7
14017,cart,7
150096,product,7
518172,department,7
65060-000,department,7
90450-190,product,7
432500,product,7
45500,product,7
54199,product,7
455006,department,7
65700-000,department,7
353006,product,7
458099,cart,7
65201,cart,7
463399,department,7
65130-000,cart,7
65099,department,7
154007,product,7
154005,product,7
136001,product,7
20765-630,cart,7
550000,cart,7
132699,cart,7
118015,cart,7
230093,department,7
116037,product,7
200434,product,7
11600-000,product,7
200336,product,7
200333,product,7
525300,department,7
200331,product,7
430015,cart,7
518107,department,7
200135,department,7
69400-000,cart,7
430032,cart,7
200126,product,7
200126,cart,7
610081,cart,7
421800,cart,7
201812,product,7
201824,department,7
130111,product,7
523770,department,7
132011,product,7
215101,cart,7
201614,product,7
130000,cart,7
523900,department,7
117021,department,7
201108,product,7
42700-000,cart,7
42700-000,department,7
201615,product,7
523960,product,7
130021,product,7
12550,product,7
523820,product,7
201100,product,7
201707,product,7
200941,department,7
116089,department,7
42800-970,product,7
430035,product,7
528251,cart,7
11740-000,product,7
213016,department,7
523460,product,7
200010,department,7
515021,product,7
430081,product,7
523460,department,7
132-030,department,7
73850-000,department,7
530001,department,7
530005,cart,7
530005,product,7
230012,department,7
74099,department,7
710043,cart,7
530023,department,7
515011,product,7
430084,product,7
518042,product,7
223865,product,7
730046,department,7
200011,product,7
200063,product,7
515159,cart,7
528253,product,7
200065,product,7
528315,cart,7
528315,department,7
515154,cart,7
72910-000,product,7
200063,cart,7
38400,product,7
200061,department,7
102699,department,7
410300,department,7
528399,department,7
528402,cart,7
430079,department,7
528402,product,7
266032,product,7
200120,cart,7
314499,product,7
310004,product,7
30021,cart,7
322001,product,7
101125,product,7
300393,cart,7
100068,product,7
318020,product,7
277511,product,7
100020,product,7
570314,product,7
88900-000,product,7
100086,product,7
325008,department,7
100141,cart,7
300450,product,7
553100,product,7
10011,department,7
88900-000,cart,7
277122,product,7
333399,product,7
333399,department,7
330030,department,7
300240,department,7
317523,product,7
333003,product,7
33463,department,7
30110-017,product,7
102209,department,7
321199,cart,7
100043,product,7
310004,department,7
571700,department,7
100193,product,7
100144,product,7
831100,cart,7
100193,department,7
300111,product,7
315012,department,7
30002,product,7
30000,department,7
02675-031,purchase,7
30072,department,7
322000,department,7
56299,product,7
518128,product,6
561000,product,6
122099,department,6
529090,department,6
529090,product,6
414001,cart,6
30019,product,6
154005,cart,6
730071,product,6
417199,product,6
463700,cart,6
300400,product,6
730051,product,6
65060-000,product,6
10050,cart,6
528415,cart,6
730031,cart,6
830014,cart,6
510540,product,6
448-160,product,6
414619,department,6
830014,department,6
152000,product,6
414005,product,6
528599,product,6
38400,department,6
277599,product,6
38413,product,6
730031,product,6
318002,cart,6
730013,cart,6
38401,product,6
226001,department,6
530003,product,6
6800,department,6
137199,cart,6
518108,cart,6
68380-000,product,6
231600,product,6
518107,product,6
201803,product,6
37036,department,6
37036,cart,6
37003,product,6
511300,product,6
68440-000,cart,6
100081,department,6
100081,cart,6
315192,product,6
650204,department,6
315192,department,6
511340,product,6
36400-000,department,6
150088,product,6
150080,product,6
234029,cart,6
68445-000,cart,6
68445-000,product,6
51137,cart,6
300453,cart,6
95555-000,department,6
56900,department,6
49400-000,cart,6
315400,product,6
741299,cart,6
300451,cart,6
37550-000,cart,6
421005,department,6
518117,product,6
60810-670,department,6
518117,cart,6
49500-000,cart,6
518115,product,6
56200,department,6
518114,department,6
530011,product,6
15130-000,product,6
317099,cart,6
518111,product,6
151199,cart,6
201906,department,6
467599,department,6
53010,cart,6
741020,department,6
100086,department,6
518110,cart,6
100086,cart,6
100085,product,6
518109,cart,6
523820,cart,6
150501,product,6
510515,department,6
14000,cart,6
330025,product,6
325604,product,6
452300,cart,6
713702,cart,6
66008,cart,6
116039,product,6
55660-000,department,6
10020,cart,6
301999,product,6
710082,cart,6
10020,department,6
161099,product,6
07600-000,product,6
451191,cart,6
458099,product,6
215228,cart,6
523460,cart,6
325899,cart,6
161006,cart,6
215335,cancel,6
215337,cart,6
118015,product,6
325005,product,6
710015,department,6
215506,department,6
525400,department,6
215506,product,6
452300,department,6
325603,product,6
57250,product,6
116089,product,6
17002,product,6
325088,product,6
453007,product,6
100162,product,6
100166,cart,6
17001,department,6
325035,cart,6
214423,product,6
453400,product,6
40301-155,cancel,6
100190,product,6
214433,cart,6
214028,product,6
712000,department,6
300276,cart,6
17200,product,6
712100,department,6
213016,cart,6
523660,product,6
452300,product,6
98052,cart,6
215007,product,6
116091,product,6
71051,product,6
402700,product,6
45997,product,6
46000,department,6
401121,product,6
46012,product,6
522021,product,6
528251,department,6
210011,product,6
528253,department,6
725000,cart,6
300393,product,6
210004,product,6
210004,cart,6
521031,product,6
521031,cart,6
221399,cart,6
38740-000,product,6
121000,department,6
60714-222,product,6
50010,product,6
528311,department,6
528311,product,6
6700,cart,6
412004,product,6
330006,department,6
38610-000,department,6
222002,cart,6
98700-000,department,6
11377,product,6
38600-000,product,6
528247,department,6
210036,department,6
39402,product,6
58310-000,product,6
450052,cart,6
526020,product,6
408401,department,6
100123,department,6
215699,department,6
523270,product,6
100123,cart,6
523270,department,6
719054,department,6
523270,cart,6
30024,product,6
32400-000,product,6
11432-501,product,6
450046,cart,6
135099,product,6
65390-000,department,6
450012,product,6
510240,product,6
157-010,product,6
528203,department,6
450004,product,6
450004,department,6
721300,cart,6
210042,product,6
30021,product,6
49400-000,product,6
56799,cart,6
110021,product,6
51530,product,6
130061,cart,6
130061,product,6
310014,cart,6
200093,cart,6
266404,department,6
54199,cart,6
100024,cart,6
200082,department,6
110021,department,6
24220,department,6
610045,cart,6
35740,product,6
543006,cart,6
56803,cart,6
550007,product,6
48280-000,cart,6
200090,cart,6
563099,cart,6
350004,department,6
14031,cancel,6
515162,product,6
62540-000,department,6
641301,department,6
344799,cart,6
434200,department,6
101509,product,6
100055,department,6
14040,department,6
831100,department,6
200083,product,6
516007,product,6
550058,product,6
64007,cart,6
131-231,product,6
200439,product,6
54402,product,6
751199,cart,6
200241,product,6
250014,product,6
200240,department,6
102218,product,6
200240,cart,6
29160,product,6
351144,product,6
351144,department,6
250033,product,6
250061,product,6
14305,cart,6
351111,department,6
10500,product,6
430024,cart,6
515435,product,6
200136,product,6
250014,department,6
350028,product,6
102401,department,6
100041,cart,6
430033,product,6
430223,product,6
30009,product,6
312030,cart,6
515011,cart,6
31199,product,6
25213-005,cart,6
545026,product,6
252041,department,6
102208,cart,6
515799,cart,6
90450-190,cart,6
553100,cart,6
130400,cart,6
02675-031,home,6
361007,cart,6
130041,cart,6
101509,cart,6
13150-000,product,6
425099,department,6
471011,product,6
201316,product,6
610093,department,6
471023,product,6
310003,product,6
14025,department,6
264400,product,6
264200,department,6
516545,cart,6
361026,department,6
150010,department,6
610404,cart,6
610036,department,6
300113,product,6
100026,product,6
10452,cart,6
337055,product,6
75012,department,6
68506,department,6
33699,product,6
235100,department,6
515149,department,6
102676,department,6
1030,product,6
310002,product,6
102628,product,6
68902,product,6
563002,department,6
48500-000,product,6
511450,product,6
610031,product,6
14025,cart,6
100073,department,6
33700,cart,6
100073,cart,6
13160-000,cart,6
471033,department,6
110399,cart,6
25040-004,cart,6
610037,department,6
516300,department,6
361012,product,6
68902,cart,6
33200-000,product,6
238367,product,6
516300,cart,6
516221,product,6
13140-000,department,6
75020,cart,6
311101,cart,5
430060,department,5
60634,product,5
28269,product,5
200082,purchase,5
13140-000,product,5
100021,product,5
410006,cart,5
210041,product,5
214151,department,5
52360,department,5
515100,cart,5
52360,cart,5
30027,department,5
450004,cart,5
570311,product,5
410002,department,5
450044,product,5
56520-000,product,5
451199,department,5
28277,product,5
30024,cart,5
523560,cart,5
430079,cart,5
100039,product,5
68925-000,department,5
56699,product,5
13089,product,5
200082,product,5
300280,cart,5
510370,product,5
100025,cart,5
510370,cart,5
311231,department,5
510378,department,5
515146,product,5
510288,department,5
134001,cart,5
311231,product,5
523710,department,5
13483,department,5
450011,cart,5
515136,department,5
82860-140,product,5
515152,department,5
210037,cart,5
430035,cart,5
430051,cart,5
523660,department,5
325016,department,5
515141,product,5
310022,product,5
56601,product,5
404655,product,5
200031,product,5
71052,cart,5
515157,department,5
515154,product,5
710033,department,5
510150,department,5
523380,product,5
523400,cart,5
200090,department,5
66,product,5
523400,product,5
82860-140,department,5
325007,product,5
200081,cart,5
430064,product,5
510150,product,5
523450,cart,5
100141,product,5
51533,product,5
21217,cart,5
610091,cart,5
58340-000,product,5
300276,product,5
523500,department,5
311100,product,5
2138,product,5
844901,cart,5
200050,cart,5
452470,cart,5
523321,department,5
515325,cart,5
71051,department,5
200120,purchase,5
515132,product,5
57550,product,5
841001,product,5
200030,department,5
40515,department,5
51532,product,5
523321,cart,5
523220,department,5
68465-000,cart,5
510425,cart,5
510900,product,5
516221,department,5
201114,product,5
201908,product,5
201908,cart,5
201907,product,5
130000,product,5
300170,department,5
201901,department,5
300170,cart,5
201901,cart,5
516300,product,5
518110,department,5
43700-000,cart,5
201202,cart,5
100011,product,5
100088,product,5
434200,product,5
518115,cart,5
518118,department,5
13315-000,product,5
419399,product,5
518118,product,5
300113,cart,5
130031,product,5
69735-000,department,5
100055,cart,5
421099,product,5
445-810,product,5
201101,purchase,5
56899,department,5
610043,department,5
421005,product,5
130021,cart,5
201202,product,5
201824,cart,5
28950-000,product,5
100076,department,5
422001,department,5
315012,product,5
68440-000,department,5
68440-000,product,5
69100,cart,5
82590-100,department,5
100076,cart,5
LE3,department,5
425-020,cart,5
300150,cart,5
610021,department,5
12570-000,cart,5
201614,cart,5
201613,product,5
201800,product,5
610032,department,5
132699,department,5
518106,product,5
610036,cart,5
100084,department,5
201315,product,5
56899,product,5
100084,cart,5
LS17,cart,5
201803,department,5
422001,cart,5
518105,department,5
100070,cart,5
518104,department,5
100070,department,5
201802,cart,5
100079,product,5
317200,product,5
418099,cart,5
210019,department,5
201101,department,5
200240,product,5
515647,product,5
449-810,product,5
201600,product,5
121018,product,5
412299,cart,5
430084,cart,5
322000,cart,5
3000,department,5
20874,product,5
3216,product,5
78890-000,department,5
300061,department,5
519070,department,5
200336,department,5
322000,product,5
100102,cart,5
611-080,department,5
510435,department,5
210019,cart,5
30023,product,5
09925-000,department,5
522021,department,5
322023,product,5
52164,product,5
515023,cart,5
210003,product,5
210011,department,5
430015,product,5
510435,product,5
29730,department,5
210004,department,5
13054,product,5
200434,cart,5
430200,product,5
519055,product,5
610044,department,5
518128,department,5
67105-290,department,5
67105-290,product,5
42800-970,cart,5
516003,product,5
674100,department,5
100054,product,5
1000,cart,5
416000,product,5
510813,product,5
417009,product,5
12230-002,product,5
445-940,cart,5
20551,department,5
42800-970,department,5
312499,product,5
312030,product,5
132001,cart,5
519055,cart,5
70297-400,purchase,5
515899,product,5
69035,cart,5
200442,product,5
28400,product,5
516001,department,5
312499,cart,5
WA5,product,5
56803,department,5
516002,product,5
318020,cart,5
318002,product,5
671000,product,5
214221,product,5
215051,department,5
88010-400,department,5
536063,department,5
235099,cart,5
362342,department,5
111003,product,5
75001,department,5
150059,department,5
150060,department,5
33178,cart,5
363099,department,5
04941-175,product,5
234271,department,5
361012,department,5
150076,department,5
363107,cart,5
23400,product,5
300452,cart,5
750000,cart,5
233050,department,5
36500-000,cart,5
36880-000,cart,5
64260-000,cart,5
235100,product,5
11100,product,5
362302,department,5
30120-010,cart,5
54000,product,5
238367,department,5
6010,product,5
110144,product,5
53899,product,5
55400-000,product,5
361022,home,5
101320,product,5
33200-000,cart,5
49120-000,department,5
110399,department,5
361106,product,5
236600,product,5
36199,cart,5
75013,department,5
150050,department,5
75012,cart,5
362211,product,5
75007,department,5
331131,product,5
7801,cart,5
232007,product,5
59101,product,5
465250,department,5
65001,cart,5
650221,department,5
22750-008,product,5
571101,cart,5
37750-000,product,5
226006,department,5
529699,department,5
136201,product,5
65052-050,product,5
730900,department,5
65060-000,cart,5
529299,product,5
11236,product,5
153000,department,5
33064,product,5
153000,product,5
529100,product,5
38229,product,5
276826,product,5
530001,product,5
232002,product,5
37200-000,product,5
100164,product,5
74199,cart,5
74175-120,department,5
11212,department,5
13700,product,5
741099,department,5
230061,product,5
101125,cart,5
46901,cart,5
230039,cart,5
101111,product,5
276200,product,5
467599,cart,5
74099,product,5
59140-971,cart,5
8800,department,5
466002,product,5
465250,product,5
11224,product,5
75020,department,5
54002,product,5
730060,department,5
62850-000,product,5
550009,product,5
350009,department,5
350009,product,5
266431,cart,5
550009,cart,5
350011,product,5
59290-000,product,5
266431,department,5
252400,department,5
550004,product,5
361012,cart,5
550003,department,5
10475,product,5
271001,cart,5
252-0143,department,5
271039,department,5
90201,department,5
550000,product,5
75830-000,cart,5
139-200,product,5
139-223,department,5
253500,product,5
48280-000,department,5
350003,product,5
571700,product,5
551700,product,5
337014,product,5
62465,cart,5
55170-000,department,5
551500,product,5
264200,cart,5
264199,product,5
55251,product,5
33905,product,5
89183,department,5
13920-000,cart,5
10453,product,5
34000,product,5
76804,cart,5
262199,department,5
344799,product,5
14042,department,5
35000,department,5
250199,product,5
250061,department,5
1070,product,5
242034,cart,5
241002,department,5
49048,product,5
75041,department,5
541100,department,5
361-271,product,5
64000,cart,5
14940-000,department,5
14940-000,product,5
361001,cart,5
361001,department,5
33299,product,5
138-220,product,5
621051,cart,5
110055,department,5
110055,product,5
361006,purchase,5
332499,product,5
138-202,department,5
23890-000,product,5
637003,product,5
272000,product,5
250024,product,5
35740-000,cart,5
54800-000,department,5
14305,product,5
250022,cart,5
250002,product,5
102209,cart,5
59280-000,cart,5
63421,department,5
545025,product,5
354099,cart,5
475004,department,5
272000,department,5
35519-000,department,5
35519-000,product,5
35590-000,product,5
24425-285,product,5
102206,product,5
475000,product,5
475000,cart,5
30110-017,department,5
730071,cart,5
200061,product,5
16300-000,department,5
39400,department,5
215124,department,5
458031,product,5
92335,cart,5
528247,cart,5
10030,product,5
22030,product,5
528248,department,5
713800,cart,5
114200,department,5
723099,cart,5
116037,cart,5
10031,cart,5
65137-000,product,5
78300-000,department,5
525425,product,5
524300,product,5
27970-020,product,5
524300,department,5
325608,product,5
528300,product,5
430071,cart,5
835000,cart,5
27970-020,cart,5
65110-000,product,5
72761,cart,5
136-130,department,5
524100,department,5
528308,cart,5
456400,product,5
215131,department,5
220019,department,5
98662,department,5
52460,product,5
215638,department,5
526020,department,5
215638,product,5
526119,product,5
46013,cart,5
65485-000,department,5
719054,product,5
525300,product,5
28041,cart,5
28031,product,5
215501,product,5
161000,product,5
215335,cart,5
135099,cart,5
719499,department,5
300386,product,5
115002,product,5
525026,cart,5
461003,cart,5
461003,product,5
65213-000,department,5
525011,cart,5
325699,cart,5
528203,product,5
721015,department,5
39520-000,department,5
721402,department,5
50056,cart,5
10030,department,5
28053,product,5
215638,cart,5
223001,cart,5
60526-670,department,5
61800-000,cart,5
45400-000,department,5
528329,product,5
117021,cart,5
55550,product,5
100193,cart,5
27893,department,5
330006,cart,5
528422,product,5
523980,product,5
136001,department,5
38610-000,cart,5
528322,cart,5
92130,product,5
10019,product,5
730031,department,5
55750-000,cart,5
214433,department,5
136001,cart,5
830000,product,5
277700,product,5
136001,purchase,5
40301-110,home,5
116200,product,5
92230,product,5
215005,product,5
07700-000,product,5
528422,department,5
27713,product,5
99042-800,department,5
14404,department,4
45345-000,department,4
475300,product,4
68902,department,4
453004,cart,4
430084,department,4
430200,department,4
45810-000,cart,4
47600-000,department,4
4301,product,4
45260-000,product,4
BR5,department,4
30180,department,4
476100,cart,4
63421,product,4
65715-000,product,4
30009,cart,4
17002,cart,4
472099,department,4
62500,department,4
30900,cart,4
65570-000,cart,4
450122,product,4
95127,cart,4
30091,department,4
95122,product,4
63700-000,cart,4
474150,product,4
15900-000,cart,4
14020,department,4
474250,department,4
430415,product,4
14020,product,4
301699,cart,4
65599,cart,4
475001,cart,4
45897,product,4
635002,product,4
430415,cart,4
45896,department,4
161000,department,4
14550,product,4
661699,cart,4
475004,cart,4
63301,department,4
161042,product,4
301-150,product,4
63004,cart,4
301800,product,4
30058,cart,4
45133,product,4
62553,department,4
62940-000,department,4
430079,cancel,4
200023,product,4
142-070,product,4
300272,product,4
65700-000,cart,4
142-070,department,4
17200,cart,4
62880-000,cart,4
62870-000,cart,4
62580-000,department,4
830000,department,4
841001,department,4
457000,department,4
BT8,department,4
830002,cart,4
62685-000,department,4
456550,department,4
455006,product,4
456550,cart,4
831100,purchase,4
30813,department,4
14404,cart,4
143-190,department,4
477150,department,4
48370-000,cart,4
816003,cart,4
84032,product,4
477150,product,4
CF5,cart,4
430081,cart,4
144-0041,product,4
14030-680,product,4
161099,department,4
16300-000,cart,4
45345-000,product,4
66008,department,4
200010,cart,4
63180-000,department,4
452470,department,4
29640,product,4
200050,department,4
14031,cart,4
810007,cart,4
30809,product,4
14031,department,4
143-220,cart,4
454991,product,4
200011,cart,4
30045,cart,4
435005,department,4
450052,product,4
46901,product,4
66699,cart,4
30016,product,4
66699,product,4
68300-000,department,4
83430-000,product,4
65110-000,cart,4
B14,cart,4
151199,department,4
95680-000,department,4
151-015,product,4
65101,cart,4
64499,product,4
6700,department,4
442012,department,4
44900-000,cart,4
830092,department,4
150300,cart,4
441300,cart,4
44900-000,product,4
44128,cart,4
150299,cart,4
4500,product,4
68400-000,department,4
68430-000,cart,4
300399,department,4
68430-000,department,4
150100,product,4
150100,department,4
150100,cart,4
65130-000,department,4
830092,product,4
155124,product,4
154103,product,4
150096,department,4
678000,cart,4
96450-000,cart,4
448-171,department,4
65066-620,product,4
30045,department,4
445-940,product,4
44791,cart,4
98902,department,4
151199,product,4
44790-000,product,4
44790-000,cart,4
44700-000,cart,4
44700-000,department,4
99150-000,cart,4
463399,product,4
463700,product,4
445-890,department,4
65067-430,department,4
95828,department,4
650011,department,4
300400,department,4
65000-000,cart,4
67000-000,product,4
99700-000,department,4
30021,department,4
44380-000,product,4
44380-000,department,4
99700-000,product,4
68135,cart,4
4655,product,4
443002,product,4
68170-000,department,4
65137-000,cancel,4
150088,department,4
432001,product,4
95340,department,4
68620-000,cart,4
435005,cart,4
46307,product,4
435005,product,4
471033,product,4
68540-000,product,4
150009,cart,4
150010,cart,4
65400-000,department,4
68537-000,cart,4
65395-000,department,4
43700-000,department,4
157-201,department,4
150009,product,4
30024,department,4
157003,department,4
17543,cart,4
450051,cart,4
65485-000,cart,4
68632-000,product,4
432600,product,4
300113,department,4
432500,department,4
43232,product,4
641301,cancel,4
68690-000,product,4
46013,department,4
14960-000,cart,4
158-055,product,4
300240,cart,4
68695-000,department,4
98404,department,4
461003,department,4
300452,product,4
156-090,product,4
300454,product,4
300134,cart,4
471003,department,4
95555-000,cart,4
300453,product,4
150060,cart,4
450001,product,4
68515-000,product,4
82590-300,cancel,4
450000,product,4
441099,product,4
65137-000,home,4
150076,product,4
150080,department,4
68465-000,department,4
30238,department,4
65201,cancel,4
68488-000,department,4
830002,department,4
68506,cart,4
30114,cart,4
15600-000,department,4
156100,cart,4
471011,cart,4
68506,product,4
65206,department,4
65208-000,cart,4
15002,cart,4
30263,cart,4
45001,department,4
65213-000,product,4
65930-000,product,4
266044,product,4
200062,cart,4
223499,department,4
330700,product,4
225699,product,4
731100,department,4
731100,cart,4
22451-264,product,4
22451-264,cart,4
224007,product,4
92114,cart,4
33023,department,4
730071,cancel,4
38300,product,4
730051,department,4
730051,cart,4
92130,cart,4
33000,product,4
92130,department,4
33010,cart,4
223021,department,4
223001,product,4
38408,department,4
38410,product,4
38413,cart,4
38415,product,4
73000,product,4
222300,department,4
27834,product,4
38500-000,cart,4
330009,department,4
37925-000,cart,4
37750-000,cart,4
37699,product,4
37699,cart,4
74175-120,cart,4
230094,department,4
78130,cart,4
78130,product,4
230093,cart,4
741099,cart,4
230041,department,4
230041,cart,4
741020,product,4
276200,department,4
8800,product,4
230036,cart,4
37130-000,product,4
230022,cart,4
78158-720,cart,4
276826,cart,4
230012,cart,4
74078,product,4
230002,cart,4
276826,department,4
37190-000,cart,4
37190-000,department,4
8800,cart,4
37421,product,4
73850-000,cart,4
37550-000,department,4
276899,cart,4
22193,product,4
72910-000,department,4
29614,cart,4
215501,cart,4
8648,department,4
400084,cart,4
400084,product,4
32714,department,4
719054,cart,4
401121,cart,4
28032,cart,4
32703,product,4
401121,department,4
401143,cart,4
32671-072,cart,4
215506,cart,4
718599,cart,4
215499,product,4
38637,department,4
215499,department,4
2154,cart,4
215335,product,4
215301,department,4
715500,cart,4
325699,department,4
215132,product,4
92627,cart,4
325609,product,4
325609,cart,4
215121,department,4
40230,product,4
713800,department,4
32746,product,4
28025,product,4
400032,product,4
400021,department,4
38654,product,4
22150,product,4
72880-000,cart,4
72761,department,4
72750,product,4
221151,cart,4
38834,department,4
221051,cart,4
726099,cart,4
723099,product,4
78300-000,product,4
723099,department,4
28024,department,4
39400,cart,4
2200,department,4
39401,cart,4
39440-000,department,4
721402,product,4
21831,department,4
39670-000,cart,4
39680-000,cart,4
39900-000,product,4
400-340,product,4
4000,product,4
400015,department,4
92500-000,product,4
400021,cancel,4
231600,department,4
37038,cart,4
23227,cart,4
250022,department,4
350015,product,4
266520,department,4
350025,department,4
334700,product,4
350028,cart,4
334600,product,4
350300,product,4
75830-000,department,4
271039,product,4
271199,product,4
351111,cart,4
250199,department,4
250116,product,4
351299,cart,4
91710,cart,4
35162,department,4
25000,department,4
35163,cart,4
90280,cart,4
35163,product,4
77379,cart,4
27150,product,4
247000,product,4
247000,cart,4
35400-000,department,4
246003,product,4
35500,product,4
90631,department,4
25265-008,cancel,4
253500,cart,4
350004,product,4
266404,cart,4
266299,cart,4
